TailNum,Average_Delay
ORD,276459
ATL,255029
DFW,237909
LAX,204002
PHX,183299
STL,165766
DTW,148346
MSP,142673
LAS,135542
DEN,132908
IAH,129203
SFO,127782
CLT,126371
EWR,118160
PHL,115205
BOS,105592
PIT,102680
SEA,101635
MCO,98094
LGA,96825
BWI,89349
DCA,81661
SLC,78913
CVG,71440
SAN,71158
SJC,66233
MIA,65591
TPA,63604
IAD,61867
MCI,61018
BNA,56876
OAK,56263
PDX,55895
HOU,55107
CLE,54260
MEM,53272
MDW,52297
MSY,50573
FLL,49859
DAL,47095
JFK,44111
SNA,41886
AUS,41872
SMF,38397
SAT,38156
ABQ,36002
BDL,35473
ONT,35171
RDU,34855
CMH,34646
IND,34352
RNO,30303
BUR,26834
PVD,25439
SJU,24796
JAX,24289
ELP,23397
PBI,22592
SDF,22095
TUS,19643
BHM,19619
TUL,19610
ANC,19567
OKC,19548
BUF,18148
OMA,17008
HNL,16665
RIC,16470
ORF,15457
MKE,14873
RSW,14755
GSO,14563
MHT,13449
ALB,13299
ROC,13241
LIT,13240
GEG,12950
BOI,12434
COS,12016
SYR,10969
DAY,10671
JAN,8855
ISP,8336
GRR,7775
MDT,7015
TYS,6796
CHS,6692
GSP,6510
DSM,6475
ICT,6272
ABE,6018
PWM,5881
PNS,5571
OGG,5547
LBB,5542
HSV,5501
SAV,5269
MAF,5248
FAI,5128
SRQ,4891
CID,4827
AMA,4663
CAE,4614
PSP,4547
HPN,4421
JNU,4412
BTR,4360
MOB,4157
HRL,4080
MSN,3852
MBS,3726
LGB,3512
MFE,3489
LEX,3436
FSD,3435
SHV,3410
CRP,3024
BIL,2965
GRB,2837
STT,2742
MYR,2695
LNK,2686
BTV,2531
KOA,2478
SBA,2469
KTN,2457
LAN,2392
GTF,2309
FAR,2298
ILM,2134
ROA,2121
MLU,2115
RST,2111
EUG,2067
LIH,2058
TLH,2049
DAB,2006
SGF,1991
SBN,1942
MLI,1879
BZN,1848
MSO,1846
FCA,1552
AVL,1530
MFR,1485
AVP,1464
MLB,1434
PSC,1426
BIS,1403
ITH,1378
ERI,1376
ELM,1367
FAY,1359
VPS,1299
SIT,1290
RAP,1255
FNT,1243
SWF,1206
EGE,1165
CRW,1103
TVC,1091
TRI,1069
GPT,1062
CHA,1036
CAK,1032
AZO,1011
GFK,1005
MOT,997
DLH,992
MGM,976
AGS,972
BET,945
ITO,913
OME,884
BRW,863
OTZ,854
TOL,847
JAC,846
BGM,782
STX,722
HLN,708
CDV,708
PSG,701
WRG,697
YAK,696
SUX,680
HDN,679
ADQ,670
DUT,498
LSE,430
FWA,426
FAT,362
SCC,341
AKN,293
MRY,292
DLG,272
GUC,219
MTJ,197
DRO,117
MIB,88
GST,88
LWB,82
BRO,55
BQN,17
PIA,15
LFT,7
