Unique_Carrier,Description,Total_Cancelled_Flights
AQ,Aloha Airlines Inc.,173
TW,Trans World Airways LLC,5254
CO,Continental Air Lines Inc.,7296
AS,Alaska Airlines Inc.,7506
WN,Southwest Airlines Co.,9039
HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),9422
NW,Northwest Airlines Inc.,15340
US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),28055
AA,American Airlines Inc.,29677
DL,Delta Air Lines Inc.,31569
UA,United Air Lines Inc.,44159
