Unique_Carrier,Description,Total_Flights,Total_Cancelled_Flights,Ratio
UA,United Air Lines Inc.,776559,44159,17.58552050544623
AS,Alaska Airlines Inc.,154171,7506,20.53970157207567
HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),219160,9422,23.260454255996603
AA,American Airlines Inc.,742265,29677,25.011456683627053
US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),748624,28055,26.684156121903403
DL,Delta Air Lines Inc.,908029,31569,28.76331210998131
NW,Northwest Airlines Inc.,551337,15340,35.941134289439375
TW,Trans World Airways LLC,267131,5254,50.84335744194899
CO,Continental Air Lines Inc.,393036,7296,53.870065789473685
AQ,Aloha Airlines Inc.,11036,173,63.79190751445087
WN,Southwest Airlines Co.,911699,9039,100.86281668326143
