"Dest","number_of_In_Flights"
"BFF",1
"CBM",1
"LAR",1
"ROW",1
"SKA",1
"CYS",2
"PVU",3
"FMN",5
"CKB",6
"OGD",6
"PUB",10
"RDR",46
"MAZ",84
"MIB",88
"CWA",175
"PSE",198
"ADK",259
"MKK",275
"SPI",284
"LNY",286
"GST",528
"ACK",601
"TUP",617
"HKY",630
"LWS",668
"LWB",722
"ISO",727
"WYS",808
"SUX",946
"ORH",1119
"GUC",1278
"APF",1412
"DLG",1554
"HVN",1632
"VIS",1848
"AKN",1962
"DUT",2147
"BQN",2153
"IPL",2172
"ACY",2203
"SCC",2278
"ELM",2309
"ITH",2321
"VCT",2369
"EFD",2565
"MQT",2608
"COD",2748
"CDC",2787
"FLO",2897
"IYK",3084
"CEC",3104
"DRO",3111
"LYH",3117
"CIC",3186
"HTS",3385
"MEI",3823
"STX",3837
"YUM",3853
"BTM",3956
"BQK",3965
"MOD",3984
"ADQ",3987
"ABY",4055
"VLD",4095
"SCE",4140
"WRG",4155
"PSG",4158
"YAK",4170
"CDV",4256
"HDN",4271
"LCH",4310
"MCN",4365
"BRW",4452
"GTR",4604
"BGM",4813
"ERI",4915
"OXR",5111
"GFK",5135
"PIE",5221
"PIH",5594
"DHN",5636
"CSG",5761
"DBQ",5777
"BRO",5799
"OTZ",5883
"ATW",5978
"OME",5986
"RDD",6143
"CLD",6239
"SMX",6287
"TWF",6397
"MOT",6453
"GGG",6485
"BET",6644
"FAY",6747
"EYW",6948
"GNV",7040
"EGE",7207
"BPT",7262
"EKO",7414
"CHO",7579
"GRK",7674
"SIT",7817
"TXK",7947
"MTJ",8133
"RDM",8180
"LSE",8556
"DLH",8598
"HLN",8598
"CPR",8796
"SGU",8800
"SUN",8827
"AEX",8958
"BMI",9146
"PFN",9231
"IDA",9545
"LNK",9999
"LRD",10424
"ITO",10584
"AVP",10628
"SPS",10723
"BIS",10846
"LAW",10912
"GJT",11263
"SWF",11374
"SJT",11400
"MGM",11473
"AGS",11496
"FSM",11511
"BFL",11556
"ACV",11722
"CMI",11823
"TRI",11832
"MLB",12834
"RST",12994
"MLU",13062
"ABI",13118
"FCA",13172
"ILE",13381
"TVC",13694
"JAC",13739
"PSC",13950
"ACT",13980
"LFT",14260
"KTN",14706
"CLL",14856
"SBN",15057
"PIA",15186
"TYR",15447
"DAB",15776
"ROA",15975
"AVL",16046
"RAP",16067
"PHF",16395
"ILM",16709
"MLI",16864
"CHA",17044
"GTF",17131
"AZO",17274
"CRW",17463
"MFR",17667
"MSO",17764
"FAR",18108
"EVV",18179
"STT",18824
"MBS",18985
"BZN",19164
"TLH",19174
"TOL",19472
"MFE",19499
"EUG",19868
"GPT",20148
"BGR",20408
"FNT",20763
"FSD",21429
"SBP",21462
"LAN",22444
"VPS",23243
"FWA",23633
"MOB",23656
"BIL",24068
"CAK",25600
"MRY",25930
"JNU",26778
"KOA",27094
"GRB",28019
"LIH",28164
"ABE",28310
"MYR",28310
"SGF",30044
"HRL",30240
"SRQ",30368
"FAI",31429
"BTV",33365
"LEX",34210
"CID",34489
"BTR",37466
"CRP",38188
"PNS",38798
"HPN",38856
"SHV",38947
"AMA",41100
"MSN",41701
"CAE",42343
"LGB",42460
"MAF",43518
"HSV",44193
"MDT",44957
"SBA",45853
"FAT",47475
"XNA",47699
"LBB",49691
"ICT",49996
"PWM",51275
"SAV",52862
"PSP",53032
"TYS",53776
"DSM",54210
"CHS",55784
"JAN",57207
"GSP",57264
"OGG",58351
"ISP",65664
"COS",70057
"DAY",72045
"SYR",72549
"GRR",72742
"GEG",79265
"BOI",82260
"ROC",89325
"GSO",89371
"LIT",94108
"ALB",95678
"RIC",98710
"MKE",110135
"TUS",110454
"MHT",110972
"RSW",112519
"OMA",116947
"BHM",118228
"ORF",118961
"ANC",120969
"TUL",125909
"OKC",126524
"SDF",128100
"ELP",128452
"BUF",128908
"PBI",149168
"SJU",150024
"HNL",150504
"JAX",159599
"BUR",159726
"RNO",165166
"PVD",169451
"BDL",207037
"ONT",209670
"ABQ",217529
"CMH",217695
"SAT",226298
"IND",228661
"AUS",243756
"SMF",262176
"DAL",263915
"SNA",266873
"RDU",290110
"MSY",293117
"MEM",299690
"PDX",324478
"BNA",334781
"HOU",335851
"FLL",345593
"MCI",349873
"SJC",380826
"OAK",385300
"MIA",391070
"TPA",408664
"JFK",415085
"CLE",418480
"MDW",421296
"PIT",461535
"SAN",480591
"DCA",495269
"IAD",507681
"BWI",581244
"MCO",592950
"SEA",617604
"SLC",642885
"LGA",644002
"CLT",679985
"STL",680620
"PHL",683913
"CVG",689784
"BOS",700229
"SFO",717532
"EWR",784193
"MSP",843200
"DTW",845643
"DEN",854573
"LAS",864082
"IAH",965991
"PHX",1043119
"LAX",1279514
"DFW",1781833
"ATL",1912370
"ORD",1967069
