"UniqueCarrier","Description","total_cancelled"
"F9","Frontier Airlines Inc.",175
"HA","Hawaiian Airlines Inc.",268
"AQ","Aloha Airlines Inc.",1662
"B6","JetBlue Airways",1707
"TZ","ATA Airlines d/b/a ATA",2080
"FL","AirTran Airways Corporation",6075
"TW","Trans World Airways LLC",11001
"XE","Expressjet Airlines Inc.",21483
"DH","Independence Air",22176
"OH","Comair Inc.",24986
"HP","America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",25402
"OO","Skywest Airlines Inc.",25924
"CO","Continental Air Lines Inc.",26565
"AS","Alaska Airlines Inc.",26667
"EV","Atlantic Southeast Airlines",27947
"NW","Northwest Airlines Inc.",59210
"WN","Southwest Airlines Co.",65549
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",85866
"MQ","American Eagle Airlines Inc.",96365
"UA","United Air Lines Inc.",102066
"AA","American Airlines Inc.",105762
"DL","Delta Air Lines Inc.",107851
