"UniqueCarrier","Description","total_flights","total_cancelled_flights","ratio"
"HA","Hawaiian Airlines Inc.",104091,268,0.00257467024046267
"F9","Frontier Airlines Inc.",53255,175,0.00328607642474885
"B6","JetBlue Airways",268068,1707,0.00636778727785487
"TZ","ATA Airlines d/b/a ATA",188818,2080,0.0110158989079431
"WN","Southwest Airlines Co.",5810593,65549,0.0112809484333183
"FL","AirTran Airways Corporation",502650,6075,0.0120859444941808
"CO","Continental Air Lines Inc.",1994295,26565,0.0133204967168849
"OO","Skywest Airlines Inc.",1377703,25924,0.0188168277197625
"NW","Northwest Airlines Inc.",3084991,59210,0.019192924711936
"XE","Expressjet Airlines Inc.",1099556,21483,0.0195378862013394
"HP","America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",1208561,25402,0.0210183846740049
"TW","Trans World Airways LLC",511852,11001,0.0214925408125786
"AA","American Airlines Inc.",4436047,105762,0.0238414967199401
"DL","Delta Air Lines Inc.",4478580,107851,0.0240815169093775
"AQ","Aloha Airlines Inc.",64834,1662,0.025634697843724
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",3206520,85866,0.0267785636765091
"AS","Alaska Airlines Inc.",956498,26667,0.0278798282902839
"UA","United Air Lines Inc.",3655110,102066,0.027924193799913
"DH","Independence Air",693047,22176,0.0319978298730101
"EV","Atlantic Southeast Airlines",857220,27947,0.0326018991624087
"OH","Comair Inc.",754683,24986,0.0331079406850293
"MQ","American Eagle Airlines Inc.",2373620,96365,0.0405983266066177
